ICN,Incident_Date,Date_Stamp,Subject,Country,ISO-3166-2,City,Geocode,Geocode_Anchor,Incident_Group_Type,Summary,Related_Term,Incident_Victims_Dead,Incident_Victims_Hostaged,Incident_Victims_Wounded,Incident_Included_Victims,Weapon,Event_Type,Geocode_Has_Value,Province_State,Assassination,IED,Incident_Day,Incident_Month,Month_Number,Incident_Year
201010575,26-Jun-10,2010-06-26,"1 church damaged in armed attack by ANAK in Casiguran, Aurora, Philippines",Philippines,PH,Casiguran,"16.283333,122.000000","Casiguran, Aurora, Philippines,",Secular/Political/Anarchist,"On 26 June 2010, at about 2:00 AM, in Casiguran, Aurora, Philippines, armed assailants threw a grenade and fired small arms at a church rectory, damaging the church but causing no injuries.  Aniban ng Ayaw sa Komunista (ANAK) claimed responsibility.","Aurora, Casiguran, church, Philippines, small arms",0,0,0,Yes,"Firearm, Grenade",Armed Attack,Yes,Aurora,No,No,4,Feb,6,2010
201008362,5-May-10,2010-05-05,"5 political supporters kidnapped by NPA-CPP in Davao, Davao City, Philippines",Philippines,PH,Davao,"7.416667,125.400002","Central, Davao del Sur, Philippines,",Secular/Political/Anarchist,"On 5 May 2010, in Tugbok, Davao, Davao City, Philippines, approximately 30 armed assailants kidnapped five political supporters, then released them several hours later.  New People's Army/Communist Party of Philippines (NPA-CPP) claimed responsibility.","Davao, Davao City, Philippines, political supporters, supporters",0,5,0,Yes,Firearm,Kidnapping,Yes,Davao,No,No,26,Dec,5,2009
201008098,3-May-10,2010-05-03,"1 market, 1 motorcycle damaged in grenade attack in Cotabato City, Philippines",Philippines,PH,Cotabato City,"7.223611,124.246391","Cotabato, Maguindanao, Philippines,",Unknown,"On 3 May 2010, at about 4:30 AM, in Cotabato City, Philippines, an assailant threw a grenade at a market, damaging the market and a motorcycle but causing no injuries.  No group claimed responsibility.","Cotabato City, market, motorcycle, Philippines",0,0,0,No,Grenade,Armed Attack,Yes,None,No,No,22,Jun,5,2010
201006933,4-Mar-10,2010-03-04,"1 political affiliate killed in armed attack by suspected NPA-CPP in Pasacao, Camarines Sur, Philippines",Philippines,PH,Pasacao,"13.514444,123.043335","Pasacao, Camarines Sur, Philippines,",Secular/Political/Anarchist,"On 4 March 2010, at about 4:00 PM, in Pasacao, Camarines Sur, Philippines, armed assailants fired upon and killed one political affiliate.  No group claimed responsibility, although it was believed the New People's Army/Communist Party of Philippines (NPA-CPP) was responsible.","affiliates, Camarines Sur, New People, Philippines, political affiliate",1,0,0,Yes,Firearm,Armed Attack,Yes,Camarines Sur,No,No,28,Jan,3,2010
201012285,6-Aug-10,2010-08-06,"1 political affiliate killed, 1 child injured in armed attack by suspected political actor in Cabanatuan, Cabanatuan, Philippines",Philippines,PH,Cabanatuan,"15.486944,120.967499","Cabanatuan, Nueva Ecija, Philippines,",Secular/Political/Anarchist,"On 6 August 2010, at about 11:30 AM, in Cabanatuan, Cabanatuan, Philippines, armed assailants fired upon a political candidate, killing the candidate, injuring his daughter, and damaging their motorcycle.  No group claimed responsibility, but authorities believed that a political rival was responsible.","candidate, daughter, political candidate, political rivals, rival",1,0,1,Yes,Firearm,Armed Attack,Yes,Cabanatuan,No,No,13,Jan,8,2010
201007462,11-Mar-10,2010-03-11,"1 paramilitary member killed, 1 other, 1 civilian wounded in armed attack by suspected NPA-CPP in Cauayan, Negros Occidental, Philippines",Philippines,PH,Cauayan,"9.972222,122.624443","Cauayan, Negros Occidental, Philippines,",Secular/Political/Anarchist,"On 11 March 2010, at about 9:00 PM, in Cauayan, Negros Occidental, Philippines, armed assailants set fire to a sugar cane field in order to draw members of the Citizen Armed Force Geographical Unit (CAFGU) to the area.  The assailants then fired upon the responders, killing one paramilitary member, wounding one other and one civilian, and damaging the sugar cane field.  No group claimed responsibility, although it was believed the New People's Army/Communist Party of Philippines (NPA-CPP) were responsible.","CAFGU, cane, Cauayan, citizen, field, Geographical Unit, Negros, order, Philippines, sugar, sugar cane",1,0,2,Yes,"Firearm, Firebomb/Incendiary","Armed Attack, Arson/Firebombing",Yes,Negros Occidental,No,No,8,Feb,3,2010
201006695,17-Feb-10,2010-02-17,"1 child killed, 2 others wounded in IED attack in Ampatuan, Maguindanao, Philippines",Philippines,PH,Ampatuan,"6.866667,124.466667","Ampatuan, Maguindanao, Philippines,",Unknown,"On 17 February 2010, in Ampatuan, Maguindanao, Philippines, an improvised explosive device (IED) exploded near a group of children, killing one child and wounding two others.  No group claimed responsibility.","child, children, Maguindanao, Philippines",1,0,2,Yes,"Explosive, IED",Bombing,Yes,Maguindanao,No,Yes,10,Aug,2,2010
200912121,28-Dec-09,2009-12-28,"1 civilian killed in armed attack by suspected NPA-CPP in Malita, Davao del Sur, Philippines",Philippines,PH,Malita,"6.415000,125.611664","Malita, Davao del Sur, Philippines,",Secular/Political/Anarchist,"On 28 December 2009, in Kinangan village in Malita, Davao del Sur, Philippines, armed assailants fired upon a civilian in his residence, killing him and damaging his residence.  No group claimed responsibility, although it was widely believed the New People's Army/Communist Party of the Philippines (NPA-CPP) was responsible.","Army, Davao, Malita, New People, Philippines, residence",1,0,0,Yes,Firearm,Armed Attack,Yes,Davao del Sur,No,No,6,Feb,12,2010
201007354,16-Mar-10,2010-03-16,"1 civilian kidnapped by suspected MILF in Datu Odin Sinsuat, Maguindanao, Philippines",Philippines,PH,Datu Odin Sinsuat,"7.035278,124.325554","Dinaig, Maguindanao, Philippines,",Secular/Political/Anarchist,"On 16 March 2010, in the afternoon, in Datu Odin Sinsuat, Maguindanao, Philippines, eight armed assailants robbed and kidnapped a Pakistani civilian.  On 17 March 2010, the victim escaped.  No group claimed responsibility, but police suspected the Moro Islamic Liberation Front (MILF) was responsible.","Islamic Liberation Front, Maguindanao, March, MILF, Moro",0,1,0,Yes,Firearm,"Kidnapping, Theft",Yes,Maguindanao,No,No,8,Jun,3,2010
201014006,13-Sep-10,2010-09-13,"1 telecommunications site damaged in arson and armed attack by suspected NPA-CPP in Cortes, Surigao del Sur, Philippines",Philippines,PH,Cortes,"9.279722,126.191109","Cortes, Surigao del Sur, Philippines,",Secular/Political/Anarchist,"On 13 September 2010, in Cortes, Surigao del Sur, Philippines, armed assailants fired upon and set fire to a telecommunications site, damaging the site but causing no injuries.  No group claimed responsibility, but authorities believed that New People's Army/Communist Party of Philippines (NPA-CPP) was responsible.","Army, Corte, New People, Philippines, site, Surigao, telecommunications, telecommunications site",0,0,0,No,"Firearm, Firebomb/Incendiary","Armed Attack, Arson/Firebombing",Yes,Surigao del Sur,No,No,27,Sep,9,2010
