ICN,Event_Type_List
201000472,Assault
201000472, Kidnapping
201006064,Kidnapping
201000820,Kidnapping
201000463,Kidnapping
201000463, Unknown
201005675,Unknown
201005668,Kidnapping
201005667,Kidnapping
201006013,Kidnapping
201000417,Bombing
201007913,Bombing
201005665,Bombing
201000848,Bombing
201000857,Bombing
201005985,Bombing
201000577,Armed Attack
201000421,Armed Attack
201000450,Armed Attack
201000423,Armed Attack
201000846,Armed Attack
201000765,Armed Attack
201005984,Armed Attack
201000634,Armed Attack
201000766,Armed Attack
201000766, Bombing
201005813,Arson/Firebombing
201000764,Arson/Firebombing
201000733,Arson/Firebombing
201006009,Arson/Firebombing
201006009, Theft
201006009, Unknown
201000847,Armed Attack
201000841,Bombing
201000420,Armed Attack
201006083,Barricade/Hostage
201006083, Kidnapping
201006083, Theft
201006083, Unknown
201006010,Unknown
201000578,Armed Attack
201000578, Barricade/Hostage
201000578, Bombing
201000745,Bombing
201005782,Bombing
201005782, Near Miss/Non Attack Incident
201000775,Bombing
201000774,Bombing
201000771,Armed Attack
201000769,Armed Attack
201000495,Armed Attack
201006159,Barricade/Hostage
201006159, Threat
201000855,Armed Attack
201005982,Armed Attack
201005814,Arson/Firebombing
201005797,Arson/Firebombing
201000880,Armed Attack
201000641,Bombing
201006146,Bombing
201000517,Bombing
201000517, Suicide
201000515,Bombing
201000500,Bombing
201000522,Bombing
201005820,Bombing
201000823,Bombing
201000823, Suicide
201000878,Bombing
201000519,Armed Attack
201000514,Armed Attack
201000865,Armed Attack
201000865, Kidnapping
201005755,Armed Attack
201005890,Armed Attack
201000581,Armed Attack
201000581, Arson/Firebombing
201000581, Theft
201000499,Armed Attack
201005664,Armed Attack
201000640,Armed Attack
201000727,Armed Attack
201000770,Assault
201006073,Unknown
201005670,Kidnapping
201000626,Bombing
201000580,Bombing
201000580, Near Miss/Non Attack Incident
201000584,Bombing
201000825,Bombing
201000582,Bombing
201000545,Bombing
201000544,Bombing
201000561,Bombing
201000543,Bombing
201000546,Bombing
201005998,Armed Attack
201005757,Armed Attack
201000768,Arson/Firebombing
201000767,Arson/Firebombing
201000767, Vandalism
201000548,Armed Attack
201006154,Armed Attack
201000725,Assault
201000725, Kidnapping
201005678,Armed Attack
201005678, Near Miss/Non Attack Incident
201005662,Armed Attack
201005662, Bombing
201000493,Bombing
201000453,Bombing
201000453, Suicide
201000492,Bombing
201006163,Bombing
201005827,Bombing
201005730,Armed Attack
201000870,Armed Attack
201000805,Armed Attack
201000813,Armed Attack
201000455,Armed Attack
201009597,Armed Attack
201009597, Arson/Firebombing
201009597, Assault
201006183,Armed Attack
201006183, Theft
201000871,Arson/Firebombing
201000826,Arson/Firebombing
201000850,Assault
201000850, Near Miss/Non Attack Incident
201000505,Armed Attack
201005826,Armed Attack
201006156,Armed Attack
201000485,Bombing
201005763,Armed Attack
201010837,Assault
201005704,Unknown
201006545,Unknown
201000851,Assault
201005718,Bombing
201000507,Bombing
201000508,Bombing
201007912,Bombing
201000864,Bombing
201005884,Bombing
201005762,Armed Attack
201006182,Armed Attack
201006182, Near Miss/Non Attack Incident
201006181,Armed Attack
201005716,Armed Attack
201005764,Armed Attack
201000510,Armed Attack
201000763,Armed Attack
201005663,Armed Attack
201000852,Armed Attack
201009598,Armed Attack
201009598, Arson/Firebombing
201009598, Assault
201009598, Kidnapping
201006885,Assault
201006885, Kidnapping
201006885, Other
201006885, Threat
201005891,Arson/Firebombing
201007035,Arson/Firebombing
201000509,Armed Attack
201005886,Armed Attack
201000858,Armed Attack
201006177,Unknown
201005713,Unknown
201009741,Assault
201009741, Kidnapping
201006187,Kidnapping
201007038,Bombing
201000569,Armed Attack
201000569, Near Miss/Non Attack Incident
201000461,Bombing
201000557,Bombing
201000563,Bombing
201000563, Suicide
201000570,Bombing
201000552,Bombing
201000558,Bombing
201000564,Bombing
201000562,Bombing
201005697,Armed Attack
201000542,Armed Attack
201000560,Armed Attack
201006393,Armed Attack
201005669,Armed Attack
201006527,Armed Attack
201005720,Assault
201005720, Kidnapping
201000568,Kidnapping
201000568, Unknown
201007039,Arson/Firebombing
201000877,Arson/Firebombing
201005889,Armed Attack
201005666,Bombing
201005666, Suicide
201006412,Bombing
201000872,Armed Attack
201010005,Assault
